דרך,כיוון,שנה,חודש,ממוצע יומי באלפים,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
דרך 4 קטע 210 מק''מ 162.7 עד ק''מ 167.1 מצומת נחל חדרה עד צומת אור עקיבא מקום הצבה 166.2,0,2019,8,38.1,461,246,184,156,350,1001,1832,2452,2187,1979,2003,2093,2211,2162,2276,2648,2732,2408,2163,1771,1597,1331,1087,809
דרך 4 קטע 210 מק''מ 162.7 עד ק''מ 167.1 מצומת נחל חדרה עד צומת אור עקיבא מקום הצבה 166.2,0,2020,3,36.8,350,205,155,143,314,937,1772,2409,2203,2081,2076,2255,2349,2339,2398,2570,2613,2307,2022,1664,1252,1017,796,570
דרך 4 קטע 210 מק''מ 162.7 עד ק''מ 167.1 מצומת נחל חדרה עד צומת אור עקיבא מקום הצבה 166.2,0,2021,1,26.0,191,103,82,88,175,633,1372,1875,1749,1533,1555,1592,1695,1742,1794,1954,1968,1700,1270,958,667,480,436,352
דרך 4 קטע 218 מק''מ 167.1 עד ק''מ 168.7 מצומת אור עקיבא עד צומת בנימינה מקום הצבה 167.3,0,2017,12,34.4,349,178,137,113,223,878,1562,2338,2150,1917,1899,1945,2031,2087,2170,2350,2483,2169,1949,1631,1325,1082,824,642
דרך 4 קטע 218 מק''מ 167.1 עד ק''מ 168.7 מצומת אור עקיבא עד צומת בנימינה מקום הצבה 167.3,0,2018,4,36.0,333,176,137,138,278,992,1745,2470,2165,1959,1963,1971,2095,2175,2270,2522,2567,2257,1962,1675,1449,1170,893,618
דרך 4 קטע 218 מק''מ 167.1 עד ק''מ 168.7 מצומת אור עקיבא עד צומת בנימינה מקום הצבה 167.3,0,2019,8,37.8,476,244,184,145,324,1023,1734,2357,2180,1996,2003,2103,2174,2152,2236,2535,2599,2310,2194,1828,1677,1441,1083,835
דרך 4 קטע 218 מק''מ 167.1 עד ק''מ 168.7 מצומת אור עקיבא עד צומת בנימינה מקום הצבה 167.3,0,2020,6,36.8,280,177,111,117,408,1627,2574,2981,2581,2266,2013,2060,2013,2191,2182,2290,2232,1899,1675,1586,1297,989,767,520
דרך 4 קטע 218 מק''מ 167.1 עד ק''מ 168.7 מצומת אור עקיבא עד צומת בנימינה מקום הצבה 167.3,0,2021,7,40.9,590,298,178,146,232,855,1738,2255,2422,2319,2278,2289,2422,2436,2398,2577,2673,2590,2342,2164,1903,1509,1249,1070
דרך 4 קטע 218 מק''מ 167.1 עד ק''מ 168.7 מצומת אור עקיבא עד צומת בנימינה מקום הצבה 167.3,0,2022,1,35.4,351,184,118,100,190,747,1528,2168,2270,2038,2059,2163,2299,2419,2432,2533,2469,2253,1881,1563,1280,1030,771,582
דרך 4 קטע 22 מק''מ 63.7 עד ק''מ 64.6 מצומת אשקלון עד צומת ברכיה מקום הצבה 64.5,0,2017,1,51.2,669,401,269,240,311,814,2091,2904,2953,2909,2982,3176,3205,3146,3400,3641,3557,3257,2959,2518,2056,1578,1220,992
דרך 4 קטע 22 מק''מ 63.7 עד ק''מ 64.6 מצומת אשקלון עד צומת ברכיה מקום הצבה 64.5,0,2018,4,52.1,600,374,251,257,424,1299,2790,3468,3437,2866,2922,3050,3079,3049,3210,3371,3520,3366,2827,2232,1924,1641,1240,919
דרך 4 קטע 22 מק''מ 63.7 עד ק''מ 64.6 מצומת אשקלון עד צומת ברכיה מקום הצבה 64.5,0,2019,7,51.6,856,465,298,256,370,996,2295,2954,2941,2767,2780,2866,2954,2966,3006,3394,3500,3392,3007,2488,2184,2014,1599,1228
דרך 4 קטע 22 מק''מ 63.7 עד ק''מ 64.6 מצומת אשקלון עד צומת ברכיה מקום הצבה 64.5,0,2020,6,49.6,858,465,319,263,362,1089,2307,2915,2948,2855,2770,2870,2856,2825,2910,3054,3217,3065,2845,2416,2027,1773,1462,1138
דרך 4 קטע 220 מק''מ 168.7 עד ק''מ 177.4 מצומת בנימינה עד צומת פוריידיס מקום הצבה 170.4,0,2017,11,30.7,442,267,142,114,134,341,1137,1959,2050,1780,1673,1668,1745,1799,1899,1989,2197,2100,1835,1582,1293,1069,862,648
דרך 4 קטע 220 מק''מ 168.7 עד ק''מ 177.4 מצומת בנימינה עד צומת פוריידיס מקום הצבה 170.4,0,2018,2,30.4,281,145,107,105,250,868,1583,2287,1783,1508,1552,1591,1796,1850,1969,2137,2158,1896,1759,1431,1155,955,723,528
דרך 4 קטע 220 מק''מ 168.7 עד ק''מ 177.4 מצומת בנימינה עד צומת פוריידיס מקום הצבה 170.4,0,2019,4,30.8,302,149,100,101,247,814,1497,2286,1958,1593,1575,1684,1784,1894,1910,2143,2138,1887,1700,1483,1182,975,753,597
דרך 4 קטע 220 מק''מ 168.7 עד ק''מ 177.4 מצומת בנימינה עד צומת פוריידיס מקום הצבה 170.4,0,2020,6,31.7,376,207,122,85,125,367,935,1747,1646,1469,1663,1833,2053,2010,2100,2375,2481,2337,1913,1620,1405,1239,929,673
דרך 4 קטע 220 מק''מ 168.7 עד ק''מ 177.4 מצומת בנימינה עד צומת פוריידיס מקום הצבה 170.4,0,2021,3,32.9,188,101,74,80,177,693,1406,1934,1953,1819,1988,2103,2233,2271,2307,2442,2506,2307,1959,1564,1148,757,549,349
דרך 4 קטע 230 מק''מ 177.4 עד ק''מ 190.8 מצומת פוריידיס עד צומת עתלית מקום הצבה 179.8,0,2018,7,15.0,126,74,47,47,103,338,629,1000,987,844,821,886,924,913,904,1024,1060,996,883,753,597,471,354,257
דרך 4 קטע 230 מק''מ 177.4 עד ק''מ 190.8 מצומת פוריידיס עד צומת עתלית מקום הצבה 179.8,0,2019,11,14.8,86,49,40,44,115,383,758,1189,1021,883,877,872,964,982,976,1068,1053,897,709,606,427,334,265,180
דרך 4 קטע 230 מק''מ 177.4 עד ק''מ 190.8 מצומת פוריידיס עד צומת עתלית מקום הצבה 179.8,0,2020,6,15.9,106,64,42,55,130,379,748,1106,978,926,960,943,996,1070,1063,1198,1121,980,809,696,559,467,321,207
דרך 4 קטע 230 מק''מ 177.4 עד ק''מ 190.8 מצומת פוריידיס עד צומת עתלית מקום הצבה 179.8,0,2021,8,15.8,177,103,69,56,73,216,483,785,955,969,984,1012,1042,995,996,1055,1059,1037,949,843,654,506,444,302
דרך 4 קטע 240 מק''מ 190.8 עד ק''מ 195.0 מצומת עתלית עד כניסה לטירת כרמל (דרום) מקום הצבה 191.4,0,2017,11,15.9,123,78,57,49,87,252,597,1244,1272,936,881,882,930,975,1003,1144,1227,1074,893,714,530,369,296,282
דרך 4 קטע 240 מק''מ 190.8 עד ק''מ 195.0 מצומת עתלית עד כניסה לטירת כרמל (דרום) מקום הצבה 191.4,0,2018,2,16.2,111,71,62,54,101,271,663,1296,1154,909,867,921,1002,1044,1088,1210,1233,1078,885,750,493,353,352,270
דרך 4 קטע 240 מק''מ 190.8 עד ק''מ 195.0 מצומת עתלית עד כניסה לטירת כרמל (דרום) מקום הצבה 191.4,0,2019,11,16.3,121,72,54,52,93,304,738,1390,1193,938,901,928,1023,1040,1072,1218,1235,1057,876,659,494,352,292,213
