,stationId,Rain,WSmax,WDmax,WS,WD,STDwd,TD,RH,TDmax,TDmin,WS1mm,Ws10mm,year,month,TG,avg_month_road_loads
0,42,0.0,7.282857142857146,241.88571428571427,5.475000000000001,240.65714285714284,10.38142857142857,,,,,6.315714285714283,5.661428571428573,2021,8,,40.4
1,45,0.0,5.318181818181818,273.1048951048951,2.844755244755245,283.02797202797206,19.44475524475525,25.118881118881124,71.44755244755245,25.281818181818185,24.948251748251742,3.9545454545454537,3.059440559440559,2018,7,,15.0
2,45,0.0,3.5783216783216782,223.25874125874125,2.140559440559441,220.28671328671328,14.28041958041958,20.94055944055945,73.15384615384616,21.052447552447543,20.83006993006993,2.841258741258741,2.2909090909090915,2019,11,,14.8
3,45,0.0,4.314685314685319,230.65034965034965,2.432867132867134,224.47552447552448,19.653146853146858,21.137762237762235,65.48251748251748,21.288811188811184,20.98671328671329,3.306293706293705,2.6251748251748244,2020,6,,15.9
4,45,0.0,3.914492753623191,236.78985507246372,2.3065217391304342,235.81159420289856,15.929710144927537,27.29492753623188,75.8623188405797,27.429710144927544,27.148550724637698,3.09855072463768,2.463768115942029,2021,8,,15.8
5,54,0.0,2.1888111888111887,152.44055944055944,1.4608391608391602,154.5944055944056,12.655944055944056,15.897202797202802,76.3986013986014,16.03356643356644,15.757342657342646,1.8965034965034964,1.6230769230769235,2020,12,16.401398601398604,124.5
6,178,0.0,3.8881118881118897,156.16783216783216,2.830769230769231,164.8181818181818,8.923776223776224,17.841958041958037,68.33566433566433,17.95314685314684,17.738461538461532,3.3286713286713283,2.9790209790209787,2020,12,,179.8
7,178,0.0,3.142028985507245,227.1159420289855,2.1420289855072463,228.768115942029,12.37608695652174,28.844927536231875,67.80434782608695,28.96014492753624,28.739130434782595,2.646376811594203,2.256521739130433,2021,8,,222.5
8,275,0.0,,,,,,17.562369337979085,71.54703832752614,,,,,2020,12,,99.8
9,275,0.0,,,,,,28.64115523465705,70.42960288808665,,,,,2021,8,,92.8
10,74,0.0,,,,,,16.342657342657343,73.15384615384616,16.477622377622374,16.220279720279716,,,2020,12,16.725174825174822,130.7
11,74,0.0,,,,,,24.08881118881119,73.01398601398601,24.24755244755247,23.934265734265733,,,2021,6,26.66293706293705,154.2
12,79,0.0,3.487412587412588,184.54545454545453,1.9153846153846152,192.04895104895104,18.61258741258741,20.55734265734266,68.01398601398601,20.765734265734267,20.36433566433566,2.702797202797202,2.115384615384616,2017,11,24.37622377622377,2.8
13,79,0.0,3.217482517482517,195.53846153846155,1.7972027972027975,199.3986013986014,18.2013986013986,16.979720279720272,80.67832167832168,17.190909090909084,16.774825174825168,2.5132867132867127,1.98881118881119,2018,4,18.7923076923077,3.2
14,79,0.0,3.6727272727272737,252.23776223776224,2.0167832167832165,254.28671328671328,19.21608391608392,25.051048951048944,72.24475524475524,25.29580419580419,24.82097902097902,2.85804195804196,2.2125874125874128,2019,6,28.494405594405592,3.5
15,79,0.0,3.868531468531468,219.04895104895104,2.010489510489511,220.74825174825176,19.91748251748252,25.151048951048946,77.00699300699301,25.33916083916084,24.972727272727266,2.91818181818182,2.1867132867132857,2020,7,28.99650349650349,2.8
16,79,0.0,4.704895104895105,203.6083916083916,3.037062937062938,204.30769230769232,11.977622377622382,13.081818181818178,80.06293706293707,13.240559440559442,12.93706293706294,3.760139860139862,3.1986013986014004,2021,3,13.761538461538468,3.0
17,82,0.0,3.025174825174825,178.67132867132867,2.104895104895105,180.05594405594405,11.503496503496509,10.749650349650343,73.17482517482517,10.928671328671324,10.56713286713287,2.6391608391608408,2.318181818181817,2017,1,10.504895104895104,40.5
18,82,0.0,3.1986013986014,220.65734265734267,2.085314685314686,232.82517482517483,12.411888111888109,17.098601398601403,75.68531468531468,17.312587412587412,16.894405594405605,2.709090909090907,2.2699300699300697,2018,4,18.89160839160839,45.6
19,82,0.0,4.24965034965035,246.12587412587413,2.763636363636364,242.4265734265734,14.382517482517494,26.582517482517485,73.7972027972028,26.786013986013995,26.3986013986014,3.550349650349649,2.9524475524475524,2019,7,29.573426573426573,48.3
20,82,0.0027972027972027,8.151748251748245,253.3916083916084,5.646853146853148,253.67832167832168,8.739160839160839,14.062937062937069,77.13986013986013,14.251748251748245,13.869230769230764,6.869930069930071,5.998601398601403,2020,3,14.080419580419582,35.8
21,124,0.0,,,,,,24.382517482517475,77.38461538461539,24.518881118881133,24.24335664335665,,,2021,6,,136.1
22,208,0.0,4.293706293706294,189.1048951048951,3.03986013986014,187.8881118881119,11.488811188811187,11.637762237762242,68.47552447552448,11.82797202797203,11.457342657342656,3.705594405594405,3.25734265734266,2017,1,,51.2
23,208,0.0,5.269230769230771,147.5174825174825,4.26083916083916,144.96503496503496,8.861538461538467,17.61748251748252,81.43356643356644,17.7937062937063,17.463636363636358,4.843356643356643,4.458041958041958,2018,4,,52.1
24,208,0.0,5.660839160839158,193.27972027972027,4.544055944055945,207.35664335664336,8.404895104895106,27.055944055944053,80.03496503496504,27.23706293706293,26.8958041958042,5.158041958041958,4.71888111888112,2019,7,,51.6
25,208,0.0,5.501398601398603,141.33566433566435,4.427972027972027,147.04895104895104,8.288811188811188,21.34615384615384,73.27972027972028,21.50629370629372,21.207692307692287,4.996503496503497,4.625874125874125,2020,6,,49.6
26,274,0.0,2.116783216783218,153.5174825174825,1.1013986013986017,155.5944055944056,16.25104895104895,10.772027972027978,77.48251748251748,10.95524475524475,10.597902097902091,1.6559440559440552,1.2825174825174823,2017,1,,70.1
